title,journal,authors,year
Does the Type and Timing of Educational Attainment Influence Physical Health? A Novel Application of Sequence Analysis., American Journal of Epidemiology published online ,"Vable, Anusha M., Catherine Duarte, Alison K. Cohen, M. Maria Glymour, Robert K. Ream and Irene H. Yen. ",2020
Locus of Control as a Dispositional Determinant of Men's Traditional Sex-Role Attitudes.," Psychological Reports 85,3 ","Valentine, Sean. ",1999
Self-Esteem and Men's Negative Stereotypes of Women Who Work.," Psychological Reports 83,3, pt 1 ","Valentine, Sean. ",1998
Acculturation and Sex-Role Attitudes Among Mexican Americans: A Longitudinal Analysis.," Hispanic Journal of Behavioral Sciences 22,1 ","Valentine, Sean and Gordon Mosley. ",2000
Aversion to Women Who Work and Perceived Discrimination Among Euro-Americans and Mexican-Americans.," Perceptual and Motor Skills 86,3 ","Valentine, Sean and Gordon Mosley. ",1998
Intrinsic and Extrinsic Motivators and Older Employees' Attitudes Towards Their Current Jobs.," Perceptual and Motor Skills 87,2 ","Valentine, Sean, W. Robert Valentine and James Dick. ",1998
Dynamics of Obesity and Chronic Health Conditions Among Children and Youth.," Journal of the American Medical Association 303,7 ","Van Cleave, Jeanne, Steven L. Gortmaker and James M. Perrin. ",2010
Estimating Effects of Latent and Measured Genotypes in Multilevel Models.," Statistical Methods in Medical Research 10,6 ","van den Oord, Edwin J. C. G. ",2001
Normal Variation and Abnormality: An Empirical Study of the Liability Distributions Underlying Depression and Delinquency.," Journal of Child Psychology and Psychiatry 44,2 ","van den Oord, Edwin J. C. G., Andrew Pickles and Irwin D. Waldman. ",2003
A Cousin Study of Associations between Family Demographic Characteristics and Children's Intellectual Ability.," Intelligence 27,3 ","van den Oord, Edwin J. C. G. and David C. Rowe. ",1999
An Examination of Genotype-environment Interactions for Academic Achievement in an U.S. National Longitudinal Survey.," Intelligence 25,3 ","van den Oord, Edwin J. C. G. and David C. Rowe. ",1997
Continuity and Change in Children's Social Maladjustment: A Developmental Behavior Genetic Study.," Developmental Psychology 33,2 ","van den Oord, Edwin J. C. G. and David C. Rowe. ",1997
Racial Differences in Birth Health Risk: A Quantitative Genetic Approach.," Demography 37,3 ","van den Oord, Edwin J. C. G. and David C. Rowe. ",2000
Economic Returns to Education for Entrepreneurs: The Development of a Neglected Child in the Family of Economics of Education?," Swedish Economic Policy Review 11,2 ","van der Sluis, Justin and C. Mirjam van Praag. ",2004
Sex Differences in the Causes of Self-Reported Adolescent Delinquency.," Journal of Abnormal Psychology 116, 2 ","Van Hulle, Carol A., Joseph Lee Rodgers, Brian M. D'Onofrio, Irwin D. Waldman and Benjamin B. Lahey. ",2007
Increased Depressive Symptoms in Female but Not Male Adolescents Born at Low Birth Weight in the Offspring of a National Cohort.," Canadian Journal of Psychiatry 55,7 ","Van Lieshout, Ryan J. and Khrista Boylan. ",2010
The Higher Returns to Formal Education for Entrepreneurs versus Employees .," Small Business Economics 40,2 ","van Praag, Mirjam, Arjen van Witteloostuijn and Justin van der Sluis. ",2013
"Family Life Cycle, Work Career Patterns, and Women's Wages at Midlife."," Journal of Marriage and Family 46,2 ","van Velsor, Ellen and Angela M. O'Rand. ",1984
Parenthood Wage Gaps Across the Life Course: A Comparison by Gender and Race., Journal of Marriage and Family published online ,"Van Winkle, Zachary and Anette Eva Fasang. ",2020
When Working Isn't Enough: Family Demographic Processes and In-Work Poverty Across the Life Course in the United States., Demographic Research 39 ,"Van Winkle, Zachary and Emanuela Struffolino. ",2018
Belsky and Eggebeen's Analysis of the NLSY: Meaningful Results or Statistical Illusions?," Journal of Marriage and Family 53,4 ","Vandell, Deborah Lowe. ",1991
Children of the National Longitudinal Survey of Youth: Choices in After-School Care and Child Development.," Developmental Psychology 27,4 ","Vandell, Deborah Lowe and Janaki Ramanan. ",1991
Effects of Early and Recent Maternal Employment on Children from Low-Income Families.," Child Development 63,4 ","Vandell, Deborah Lowe and Janaki Ramanan. ",1992
The Impact of Maternal Employment on Serious Youth Crime: Does the Quality of Working Conditions Matter? .," Crime and Delinquency 50,2 ","Vander Ven, Thomas Michael and Francis T. Cullen. ",2004
Home Alone: The Impact of Maternal Employment on Delinquency.," Social Problems 48,2 ","Vander Ven, Thomas Michael, Francis T. Cullen, Mark A. Carrozza and John Paul Wright. ",2001
Marital Transitions and Changes in African American Mothers' Depressive Symptoms: The Buffering Role of Financial Resources.," Journal of Family Psychology 23,6 ","Varner, Fatima and Jelani Mandara. ",2009
The Interactive Role of SNAP Participation and Residential Neighborhood in Childhood Obesity., Journal of Children and Poverty published online ,"Vartanian, Thomas P. and Linda Houser. ",2020
Mechanisms Linking Depression to Delinquency for Males and Females.," Feminist Criminology 5,1 ","Vaske, Jamie and Krista Gehring. ",2010
The Stability of Risk-seeking from Adolescence to Emerging Adulthood.," Journal of Criminal Justice 40,4 ","Vaske, Jamie, Jeffrey T. Ward, Danielle Boisvert and John Paul Wright. ",2012
Clarifying the Associations between Age at Menarche and Adolescent Emotional and Behavioral Problems.," Journal of Youth and Adolescence 44,4 ","Vaughan, Erikka B., Carol A. Van Hulle, William H. Beasley, Joseph Lee Rodgers and Brian M. D'Onofrio. ",2015
"Heavy Drinking, Alcohol Dependence, and Injuries at Work among Young Workers in the United States Labor Force."," Alcoholism: Clinical and Experimental Research 24,12 ","Veazie, Mark A. and Gordon S. Smith. ",2000
Gender Ideology Construction: A Life Course and Intersectional Approach.," Gender and Society 23,3 ","Vespa, Jonathan Edward. ",2009
"Cohabitation History, Marriage, and Wealth Accumulation."," Demography 48,3 ","Vespa, Jonathan Edward and Matthew A. II Painter. ",2011
Gender and Race Differences in Company Training.," Industrial Relations: A Journal of Economy and Society 35,1 ","Veum, Jonathan R. ",1996
"Interrelation of Child Support, Visitation, and Hours of Work."," Monthly Labor Review 115,6 ","Veum, Jonathan R. ",1992
Sources of Training and Their Impact on Wages.," Industrial and Labor Relations Review 48,4 ","Veum, Jonathan R. ",1995
The Relationship Between Child Support and Visitation: Evidence from Longitudinal Data.," Social Science Research 22,3 ","Veum, Jonathan R. ",1993
"Training Among Young Adults: Who, What Kind, and for How Long?"," Monthly Labor Review 116,8 ","Veum, Jonathan R. ",1993
Training and Job Mobility Among Young Workers in the United States.," Journal of Population Economics 10,2 ","Veum, Jonathan R. ",1997
"Training, Wages, and the Human Capital Model."," Southern Economic Journal 65,3 ","Veum, Jonathan R. ",1999
Wage Mobility and Wage Inequality Among Young Workers.," Contemporary Policy Issues 11,4 ","Veum, Jonathan R. ",1993
Child Care: Arrangements and Costs.," Monthly Labor Review 114,10 ","Veum, Jonathan R. and Philip M. Gleason. ",1991
Education and the Work Histories of Young Adults.," Monthly Labor Review 116,4 ","Veum, Jonathan R. and Andrea B. Weiss. ",1993
The Effect of Minimum Academic Requirements to Participate in Sports on High School Graduation.," The B.E. Journal of Economic Analysis & Policy 11,1 ","Vidal-Fernández, Marian. ",2011
On the Possibility of the Reemergence of a Dysgenic Trend with Respect to Intelligence in American Fertility Differentials.," Intelligence 6,3 ","Vining, Daniel R. ",1982
"Hypermobility, Destination Effects, and Delinquency: Specifying the Link between Residential Mobility and Offending."," Social Forces 95,3 ","Vogel, Matt, Lauren C. Porter and Timothy McCuddy. ",2017
Spatial Dimensions of the Effect of Neighborhood Disadvantage on Delinquency.," Criminology 54,3 ","Vogel, Matt and Scott J. South. ",2016
The Consequences of Spatial Inequality for Adolescent Residential Mobility.," Social Sciences 7,9 ","Vogel, Matt and Merle Zwiers. ",2018
"A Simplified Equation for Adult BMI Growth, and Its Use to Adjust BMI for Age."," International Journal of Epidemiology 41,3 ","von Hippel, Paul and Jamie L. Lynch. ",2012
Why are Educated Adults Slim—Causation or Selection?, Social Science and Medicine 105 ,"von Hippel, Paul and Jamie L. Lynch. ",2014
The Impact of Metropolitan Residential Segregation on the Employment Chances of Blacks and Whites in the United States.," City and Community 9,3 ","VonLockette, Niki T. Dickerson. ",2010
Economic Disparities in Middle Childhood Development: Does Income Matter?," Developmental Psychology 42,6 ","Votruba-Drzal, Elizabeth. ",2006
Income Changes and Cognitive Stimulation in Young Children's Home Learning Environments.," Journal of Marriage and Family 65,2 ","Votruba-Drzal, Elizabeth. ",2003
Copula Models for Sociology: Measures of Dependence and Probabilities for Joint Distributions.," Sociological Methods and Research 46,3 ","Vuolo, Mike. ",2017
A Multilevel Test of Constrained Choices Theory: The Case of Tobacco Clean Air Restrictions.," Journal of Health and Social Behavior 57,3 ","Vuolo, Mike, Joy Kadowaki and Brian Kelly. ",2016
Impact of Total Vending Machine Restrictions on U.S. Young Adult Smoking.," Nicotine and Tobacco Research 18,11 ","Vuolo, Mike, Brian Kelly and Joy Kadowaki. ",2016
Independent and Interactive Effects of Smoking Bans and Tobacco Taxes on a Cohort of US Young Adults.," American Journal of Public Health 106,2 ","Vuolo, Mike, Brian Kelly and Joy Kadowaki. ",2016
Body Composition and Wages.," Economics and Human Biology 8,2 ","Wada, Roy and Erdal Tekin. ",2010
The Meaning of Work: Conceptualizing the Deterrent Effect of Employment on Crime Among Young Adults.," Sociological Perspectives 49,3 ","Wadsworth, Tim. ",2006
Finding the Missing Einsteins: Expanding the Breadth of Cognitive and Noncognitive Measures Used in Academic Services., Contemporary Educational Psychology published online ,"Wai, Jonathan and Joni M. Lakin. ",2020
Projecting Female Labor Force Participation From Sex-Role Attitudes.," Social Science Research 7,4 ","Waite, Linda J. ",1978
Working Wives and the Life Cycle.," American Journal of Sociology 86,2 ","Waite, Linda J. ",1980
Job Stability Among Young Women: A Comparison of Traditional and Nontraditional Occupations.," American Journal of Sociology 92,3 ","Waite, Linda J. and Sue E. Berryman. ",1986
Nonfamily Living and the Erosion of Traditional Family Orientations Among Young Adults.," American Sociological Review 51,4 ","Waite, Linda J., Frances Kobrin Goldscheider and Christina Witsberger. ",1986
Keeping in Touch: How Women in Mid-life Allocate Social Contacts among Kith and Kin.," Social Forces 70,3 ","Waite, Linda J. and Scott C. Harrison. ",1992
"What Parents Pay For: Child Care Characteristics, Quality, and Costs."," Journal of Social Issues 47,2 ","Waite, Linda J., Arleen A. Leibowitz and Christina Witsberger. ",1991
The Impact of an Early First Birth on Young Women's Educational Attainment.," Social Forces 56,3 ","Waite, Linda J. and Kristin Anderson Moore. ",1978
Young Women's Transition to Marriage.," Demography 18,4 ","Waite, Linda J. and Glenna D. Spitze. ",1981
Intended Childbearing and Labor Force Participation of Young Women: Insights from Nonrecursive Models.," American Sociological Review 41,2 ","Waite, Linda J. and Ross M. Stolzenberg. ",1976
Changes in Child Care Arrangements of Working Women from 1965 to 1971.," Social Science Quarterly 58,2 ","Waite, Linda J., Larry E. Suter and Richard L. Jr. Shortlidge. ",1977
Child Welfare Research: How Adequate Are the Data?," Children and Youth Services Review 22,9-10 ","Waldfogel, Jane. ",2000
The Effect Of Children On Women's Wages.," American Sociological Review 62,2 ","Waldfogel, Jane. ",1997
The Family Gap for Young Women in the United States and Britain: Can Maternity Leave Make a Difference?," Journal of Labor Economics 16,3 ","Waldfogel, Jane. ",1998
Understanding the 'Family Gap' in Pay for Women with Children.," Journal of Economic Perspectives 12,1 ","Waldfogel, Jane. ",1998
The Effects of Early Maternal Employment on Child Cognitive Development.," Demography 39,2 ","Waldfogel, Jane, Wen-Jui Han and Jeanne Brooks-Gunn. ",2002
"Family Leave Policies and Women's Retention after Childbirth: Evidence from the United States, Britain, and Japan."," Journal of Population Economics 12,4 ","Waldfogel, Jane, Yoshio Higuchi and Masahiro Abe. ",1999
"Employment, Attitudes Toward Employment, and Women's Health."," Women and Health 11,1 ","Waldron, Ingrid and Joan Herold. ",1986
How Valid are Self-Report Measures for Evaluating Relationships Between Women's Health and Labor Force Participation?," Women and Health 7,2 ","Waldron, Ingrid, Joan Herold and Dennis Dunn. ",1982
Reciprocal Effects of Health and Labor Force Participation Among Women: Evidence from Two Longitudinal Studies.," Journal of Occupational Medicine 24,2 ","Waldron, Ingrid, Joan Herold, Dennis Dunn and Roger Staum. ",1982
Marriage Protection and Marriage Selection--Prospective Evidence for Reciprocal Effects of Marital Status and Health.," Social Science and Medicine 43,1 ","Waldron, Ingrid, Mary Elizabeth Hughes and Tracy L. Brooks. ",1996
Effects of Labor Force Participation on Women's Health - New Evidence from a Longitudinal Study.," Journal of Occupational Medicine 30,12 ","Waldron, Ingrid and Jerry A. Jacobs. ",1988
Effects of Multiple Roles on Women's Health- Evidence from a National Longitudinal Study.," Women and Health 15,1 ","Waldron, Ingrid and Jerry A. Jacobs. ",1989
Interacting Effects of Multiple Roles on Women's Health.," Journal of Health and Social Behavior 39,3 ","Waldron, Ingrid, Christopher C. Weiss and Mary Elizabeth Hughes. ",1998
Marital Status Effects on Health - Are There Differences Between Never Married Women and Divorced and Separated Women?," Social Science and Medicine 45,9 ","Waldron, Ingrid, Christopher C. Weiss and Mary Elizabeth Hughes. ",1997
Antecedents and Predecessors of NLSY79: Paving the Course.," Monthly Labor Review 128,2 ","Walker, James R. ",2005
Rural Employment of Health Care Workers: A Longitudinal Cohort Study., Journal of Rural Health published online ,"Walker, Jasmine, Mary Quaile and Dmitry Tumin. ",2020
Student Debt Spans Generations: Characteristics of Parents Who Borrow to Pay for Their Children's College Education.," The Journals of Gerontology: Series B: Psychological Sciences and Social Sciences 72,6 ","Walsemann, Katrina Michelle and Jennifer A. Ailshire. ",2017
Body Mass Index Trajectories from Adolescence to Midlife: Differential Effects of Parental and Respondent Education by Race/Ethnicity and Gender.," Ethnicity and Health 17,4 ","Walsemann, Katrina Michelle, Jennifer A. Ailshire, Bethany A. Bell and Edward A. Frongillo. ",2012
Do Gender and Racial/Ethnic Disparities in Sleep Duration Emerge in Early Adulthood? Evidence from a Longitudinal Study of U.S. Adults., Sleep Medicine 36 ,"Walsemann, Katrina Michelle, Jennifer A. Ailshire, Calley E. Fisk and Lauren L. Brown. ",2017
Student Loans and Racial Disparities in Self-reported Sleep Duration: Evidence from a Nationally Representative Sample of US Young Adults .," Journal of Epidemiology and Community Health 70,1 ","Walsemann, Katrina Michelle, Jennifer A. Ailshire and Gilbert C. Gee. ",2016
The Other Student Debt Crisis: How Borrowing to Pay for a Child's College Education Relates to Parents' Mental Health at Midlife ., Journals of Gerontology: Series B published online ,"Walsemann, Katrina Michelle, Jennifer A. Ailshire and Caroline Sten Hartnett. ",2019
Effects of Timing and Level of Degree Attained on Depressive Symptoms and Self-Rated Health at Midlife.," American Journal of Public Health 102,3 ","Walsemann, Katrina Michelle, Bethany A. Bell and Robert A. Hummer. ",2012
Parent and Child Factors That Predict Who Helps Young Adult Children Pay for College.," Innovation in Aging 4, S1 ","Walsemann, Katrina Michelle, Calley E. Fisk and Jennifer A. Ailshire. ",2020
Sick of Our Loans: Student Borrowing and the Mental Health of Young Adults in the United States., Social Science and Medicine 124 ,"Walsemann, Katrina Michelle, Gilbert C. Gee and Danielle Gentile. ",2015
"Ethnic Differences in Trajectories of Depressive Symptoms: Disadvantage in Family Background, High School Experiences, and Adult Characteristics."," Journal of Health and Social Behavior 50,1 ","Walsemann, Katrina Michelle, Gilbert C. Gee and Arline T. Geronimus. ",2009
Accumulating Disadvantage over the Life Course: Evidence from a Longitudinal Study Investigating the Relationship Between Educational Advantage in Youth and Health in Middle Age.," Research on Aging 30,2 ","Walsemann, Katrina Michelle, Arline T. Geronimus and Gilbert C. Gee. ",2008
Heterogeneity in Educational Pathways and the Health Behavior of U.S. Young Adults.," Population Research and Policy Review 37,3 ","Walsemann, Katrina Michelle, Robert A. Hummer and Mark D. Hayward. ",2018
The Association between Depression and Parental Ethnic Affiliation and Socioeconomic Status: A 27-year Longitudinal US Community Study .," Social Psychiatry and Psychiatric Epidemiology 47,7 ","Walsh, Sophie D., Stephen Z. Levine and Itzhak Levav. ",2012
Are the Effects of Parental Control/Support and Peer Delinquency on Future Offending Cumulative or Interactive? A Multiple Group Analysis of 10 Longitudinal Studies., Journal of Criminal Justice 60 ,"Walters, Glenn D. ",2019
Changes in Arrest Rate as a Function of Probation and Participant Criminal History Risk: Does Probation Work Best With Lower Risk Probationers?," Criminal Justice Policy Review 30,5 ","Walters, Glenn D. ",2019
Childhood Temperament: Dimensions or Types?," Personality and Individual Differences 50,8 ","Walters, Glenn D. ",2011
Cognitive Mediation of Crime Continuity: A Causal Mediation Analysis of the Past Crime-Future Crime Relationship .," Crime and Delinquency 61,9 ","Walters, Glenn D. ",2015
Continuous versus Categorical Models of Delinquency Risk.," American Journal of Criminal Justice 39,3 ","Walters, Glenn D. ",2014
"Delinquency, Parental Involvement, Early Adult Criminality, and Sex: Evidence of Moderated Mediation."," Journal of Adolescence 36,4 ","Walters, Glenn D. ",2013
"Early Childhood Temperament, Maternal Monitoring, Reactive Criminal Thinking, and the Origin(s) of Low Self-Control."," Journal of Criminal Justice 43,5 ","Walters, Glenn D. ",2015
Latent Structure of Life-Course-Persistent Antisocial Behavior: Is Moffitt's Developmental Taxonomy a True Taxonomy?," Journal of Consulting and Clinical Psychology 79,1 ","Walters, Glenn D. ",2011
"Low Self-Control, Peer Rejection, Reactive Criminal Thinking, and Delinquent Peer Associations: Connecting the Pieces of the Crime Puzzle."," Journal of Developmental and Life-Course Criminology 2,2 ","Walters, Glenn D. ",2016
Measuring Low Self-Control and Reactive Criminal Thinking in the NLSY-Child Sample: One Construct or Two?," American Journal of Criminal Justice 42,2 ","Walters, Glenn D. ",2017
"Mothers and Fathers, Sons and Daughters: Parental Knowledge and Quality of the Parent-Child Relationship as Predictors of Delinquency in Same- and Cross-Sex Parent‒Child Dyads."," Journal of Child and Family Studies 28,7 ","Walters, Glenn D. ",2019
Peer Influence or Projection Bias? Predicting Respondent Delinquency with Perceptual Measures of Peer Delinquency in 22 Samples., Journal of Adolescence 70 ,"Walters, Glenn D. ",2019
Sex as a Moderator and Perceived Peer Pressure as a Mediator of the Externalizing-Delinquency Relationship: A Test of Gendered Pathways Theory.," Journal of Criminal Justice 42,3 ","Walters, Glenn D. ",2014
Short-Term Goals and Physically Hedonistic Values as Mediators of the Past-Crime--Future-Crime Relationship.," Legal and Criminological Psychology 20,1 ","Walters, Glenn D. ",2015
Trajectories of Youthful Antisocial Behavior: Categories or Continua?," Journal of Abnormal Child Psychology 41,4 ","Walters, Glenn D. and John Ruscio. ",2013
IRT–ZIP Modeling for Multivariate Zero-Inflated Count Data.," Journal of Educational and Behavioral Statistics 35,6 ","Wang, Lijuan. ",2010
Bayesian Two-level Model for Repeated Partially Ordered Responses: Application to Adolescent Smoking Behavior Analysis., Sociological Methods and Research published online ,"Wang, Xiaoqing, Haotian Wu, Xiangnan Feng and Xinyuan Song. ",2019
Estimating the Energy Gap Among US Children: A Counterfactual Approach.," Pediatrics 118,6 ","Wang, Y. Claire, Steven L. Gortmaker, Arthur M. Sobol and Karen M. Kuntz. ",2006
Economic Segmentation and the Course of the Occupational Career.," Work and Occupations 10,3 ","Wanner, Richard A. and L. S. Lewis. ",1983
Ageism in the Labor Market: Estimating Earnings Discrimination Against Older Workers.," Journal of Gerontology 38,6 ","Wanner, Richard A. and Lynn McDonald. ",1983
Does Juvenile Delinquency Reduce Educational Attainment?," Journal of Empirical Legal Studies 12,4 ","Ward, Shannon and Jenny Williams. ",2015
"Delinquency, Arrest and Early School Leaving.", Oxford Bulletin of Economics and Statistics published online ,"Ward, Shannon, Jenny Williams and Jan C. van Ours. ",2020
Simulation of Growth Trajectories of Childhood Obesity into Adulthood.," New England Journal of Medicine 377,22 ","Ward, Zachary J., Michael W. Long, Stephen Resch, Catherine M. Giles, Angie L. Cradock and Steven L. Gortmaker. ",2017
"On the Move: Incarceration, Race, and Residential Mobility.", Social Science Research 52 ,"Warner, Cody. ",2015
The Effect of Incarceration on Residential Mobility between Poor and Nonpoor Neighborhoods.," City and Community 15,4 ","Warner, Cody. ",2016
"Precocious Life Course Transitions, Exits From, and Returns to the Parental Home.", Advances in Life Course Research 35 ,"Warner, Cody and Jason N. Houle. ",2018
Criminal Justice Contact and Indebtedness in Young Adulthood: Investigating the Potential Role of State-level Hidden Sentences., Social Currents published online ,"Warner, Cody, Jason N. Houle and Joshua Kaiser. ",2020
"Criminal Justice Contact, Residential Independence, and Returns to the Parental Home.", Journal of Marriage and Family published online ,"Warner, Cody and Brianna Remster. ",2021
The Short- and Long-Term Effects of Life Events on Residential Mobility., Advances in Life Course Research 27 ,"Warner, Cody and Gregory Sharp. ",2016
Early-Life Origins of the Race Gap in Men's Mortality.," Journal of Health and Social Behavior 47,3 ","Warner, David F. and Mark D. Hayward. ",2006
Is Credit Status a Good Signal of Productivity?," Industrial and Labor Relations [ILR] Review 68,4 ","Weaver, Andrew. ",2015
Work and Retirement Decisions of Older Women: A Literature Review.," Social Security Bulletin 57,1 ","Weaver, David A. ",1994
Disparities in Childhood Overweight and Obesity by Income in the United States: An Epidemiological Examination Using Three Nationally Representative Datasets., International Journal of Obesity 43 ,"Weaver, Robert G., Keith Brazendale, Ethan Hunt, Mark A. Sarzynski, Michael W. Beets and Kellee White. ",2019
The Great Decoupling: The Disconnection Between Criminal Offending and Experience of Arrest Across Two Cohorts.," RSF: The Russell Sage Foundation Journal of the Social Sciences 5,1 Criminal Justice Contact and Inequality ","Weaver, Vesla M., Andrew Papachristos and Michael Zanger-Tishler. ",2019
"Are College Costs Worth it? How Ability, Major, and Debt Affect the Returns to Schooling.", Economics of Education Review 53 ,"Webber, Douglas A. ",2016
"The Lifetime Earnings Premia of Different Majors: Correcting for Selection Based on Cognitive, Noncognitive, and Unobserved Factors.", Labour Economics 28 ,"Webber, Douglas A. ",2014
"Racial, Ethnic, and Gender Differences in Smoking Cessation Associated with Employment and Joblessness Through Young Adulthood in the US."," Social Science and Medicine 62,2 ","Weden, Margaret M., Nan Marie Astone and David M. Bishai. ",2006
"Prenatal, Perinatal, Early Life, and Sociodemographic Factors Underlying Racial Differences in the Likelihood of High Body Mass Index in Early Childhood."," American Journal of Public Health 102,11 ","Weden, Margaret M., Peter B. Brownell and Michael S. Rendall. ",2012
Parent-Reported Height and Weight as Sources of Bias in Survey Estimates of Childhood Obesity.," American Journal of Epidemiology 178,3 ","Weden, Margaret M., Peter B. Brownell, Michael S. Rendall, Christopher Lau, Meenakshi Fernandes and Zafar Nazarov. ",2013
Racial and Ethnic Differences in the Timing of First Marriage and Smoking Cessation.," Journal of Marriage and Family 69,3 ","Weden, Margaret M. and Rachel Tolbert Kimbro. ",2007
Intergenerational Relationships between the Smoking Patterns of a Population-Representative Sample of US Mothers and the Smoking Trajectories of their Children.," American Journal of Public Health 102,4 ","Weden, Margaret M. and Jeremy N. V. Miles. ",2012
Gender and Ethnic Differences in the Co-occurrence of Adolescent Risk Behaviors.," Ethnicity and Health 10,3 ","Weden, Margaret M. and Laurie S. Zabin. ",2005
Assessing Screening Policies for Childhood Obesity.," Obesity 20,7 ","Wein, Lawrence M., Yan Yang and Jeremy D. Goldhaber-Fiebert. ",2012
Do Neighborhoods Affect Hours Worked? Evidence from Longitudinal Data.," Journal of Labor Economics 22,4 ","Weinberg, Bruce A., Patricia Benton Reagan and Jeffrey Jon Yankow. ",2004
"The Effect of Fatherhood on Employment Hours: Variation by Birth Timing, Marriage, and Coresidence."," Journal of Family Issues 36,1 ","Weinshenker, Matthew. ",2015
New Dimensions of Educational Inequality: Changing Patterns of Combining College and Work in the U.S. over Time., Research in Social Stratification and Mobility 44 ,"Weiss, Felix and Josipa Roksa. ",2016
Gender Differences in the Influence of Parental Class on Young Adults’ Participation in Postsecondary Education in the US.," Journal of Further and Higher Education 38,2 ","Weiss, Felix and Mirte M. M. Scholten. ",2014
Labor Force Participation Over the Life Course: The Long-Term Effects of Employment Trajectories on Wages and the Gendered Payoff to Employment., Demography published online ,"Weisshaar, Katherine and Tania Cabello-Hutt. ",2020
The Behavioral and Educational Consequences of Early School Entry.," Ambulatory Child Health 3,1 ","Weitzman, Michael, Robert S. Byrd and Peggy Auinger. ",1997
Maternal Smoking and Behavior Problems of Children.," Pediatrics 90,3 ","Weitzman, Michael, Steven L. Gortmaker and Arthur M. Sobol. ",1992
Self-employment: The New Solution for Balancing Family and Career?," Labor Economics 13,3 ","Wellington, Alison. ",2006
Differences in Predictors of Alcohol-Related Aggression and Non-Alcohol-Related Violent Perpetration: An Exploratory Analysis in a Sample of Young Adult Drinkers.," Contemporary Drug Problems 33,4 ","Wells, Samantha L. ",2006
Do Predisposing and Family Background Characteristics Modify or Confound the Relationship Between Drinking Frequency and Alcohol-Related Aggression? A Study of Late Adolescent and Young Adult Drinkers.," Addictive Behaviors 31,4 ","Wells, Samantha L., Kathryn Graham, Mark Speechley and John J. Koval. ",2006
"Drinking Patterns, Drinking Contexts and Alcohol-Related Aggression Among Late Adolescent and Young Adult Drinkers."," Addiction 100, 7 ","Wells, Samantha L., Kathryn Graham, Mark Speechley and John J. Koval. ",2005
"Gender Differences in the Relationship Between Heavy Episodic Drinking, Social Roles, and Alcohol-Related Aggression in a U.S. Sample of Late Adolescent and Young Adult Drinkers."," American Journal of Drug and Alcohol Abuse 33,1 ","Wells, Samantha L., Mark Speechley, John J. Koval and Kathryn Graham. ",2007
Do High School Gifted Programs Lead to Later-in-Life Success?," Journal of Labor Research 39,2 ","Welsch, David M. and David M. Zimmer. ",2018
The Effect of Health and Poverty on Early Childhood Cognitive Development.," Atlantic Economic Journal 38,1 ","Welsch, David M. and David M. Zimmer. ",2010
Having a Baby: Some Predictions of Maternal Employment around Childbirth.," Gender and Society 6,1 ","Wenk, Deeann L. and Patricia Garrett. ",1992
The Effects of Rural-to-Urban Migration on the Poverty Status of Youth in the 1980s.," Rural Sociology 58,1 ","Wenk, Deeann L. and Constance L. Hardesty. ",1993
Women in Middle Management: Their Career Development and Aspirations.," Business Horizons 35, 1 ","Wentling, Rose Mary. ",1992
"Minimum Wages, Employment, and College Enrollment."," The American Economist 64,1 ","Wescher, Lance, Travis Hutchinson and Anna Rannou. ",2019
New Categories Are Not Enough: Rethinking the Measurement of Sex and Gender in Social Surveys.," Gender and Society 29,4 ","Westbrook, Laurel and Aliya Saperstein. ",2015
Mass Imprisonment and Economic Inequality.," Social Research 74,2 ","Western, Bruce. ",2007
Punishment and Inequality in America.," Industrial and Labor Relations Review 60,4 ","Western, Bruce. ",2007
The Impact of Incarceration on Wage Mobility and Inequality.," American Sociological Review 67,4 ","Western, Bruce. ",2002
How Unregulated is the U.S. Labor Market? The Penal System as a Labor Market Institution.," American Journal of Sociology 104,4 ","Western, Bruce and Katherine Beckett. ",1999
Variance Function Regressions for Studying Inequality.," Sociological Methodology 39,1 ","Western, Bruce and Deirdre Bloome. ",2009
Incarceration and Social Inequality.," Daedalus 139,3 ","Western, Bruce and Becky Pettit. ",2010
Beyond Prediction: A Framework for Inference with Variational Approximations in Mixture Models., Journal of Computational and Graphical Statistics published online ,"Westling, T. and T.H. McCormick. ",2019
Teenage Pregnancy in Adolescents With an Incarcerated Household Member.," Western Journal of Nursing Research 36,3 ","Whalen, Mathilde Logan and Ann Booker Loper. ",2014
Cities and the Growth of Wages Among Young Workers: Evidence from the NLSY.," Journal of Urban Economics 60,2 ","Wheeler, Christopher H. ",2006
Local Market Scale and the Pattern of Job Changes among Young Men.," Regional Science and Urban Economics 38,2 ","Wheeler, Christopher H. ",2008
"Occupation Choice, Information, and Migration."," Review of Regional Studies 33,2 ","White, Nancy E. and Amy M. Wolaver. ",2003
Displacement-Related Earnings Losses.," Labor Studies Journal 34,2 ","White, Roger. ",2009
Long-Run Wage and Earnings Losses of Displaced Workers.," Applied Economics 42,14 ","White, Roger. ",2010
Sex and Education: Does Sexual Debut During Adolescence Lead to Poor Grades?," Perspectives on Sexual and Reproductive Health 51,2 ","Whitworth, Tanya Rouleau and Anthony Paik. ",2019
Non-Combat Military Service in the United States and Its Effects on Depressive Symptoms Among Men.," Social Science Research 40,2 ","Whyman, Mira, Megan Lemmon and Jay D. Teachman. ",2011
