title,keywords,authors,journal,year
Measuring and Modeling Intergenerational Links in Relation to Long-Term Care,"Keywords: Aging, Health, Disability & Mortality, Intergenerational Influences & Transfers, Survey Methodology","Caplin, Andrew, Luo, Mi, and McGarry, Kathleen.", Economic Inquiry, 2018
Multidimensional Inequality across Three Developed Countries,"Keywords: Income, Intergenerational Influences & Transfers, International Studies","Rohde, Nicholas and Guest, Ross.", The Review of Income and Wealth, 2018
Is the Ladder Sticky? Measuring Semi-Parametrically State Dependence in Earnings Mobility,"Keywords: Income, Labor Market & Outcomes, Statistical & Econometric Methods","Brodaty, Thibault.", Applied Economics, 2018
SelfReported vs,"Keywords: Expenditures, Savings & Consumption, Housing","Choi, Jung Hyun and Painter, Gary.", Market Estimated House Values: Are Homeowners Misinformed or Are They Purposely Misreporting? Real Estate Economics, 2018
Changes in Returns to Task-Specific Skills and Gender Wage Gap,"Keywords: Gender Differences, Labor Market & Outcomes, Statistical & Econometric Methods","Yamaguchi, Shintaro.", The Journal of Human Resources, 2018
"Race, Ageism and the Slide from Privileged Occupations","Keywords: Aging, Labor Market & Outcomes, Racial-Ethnic Differences","Wilson, George and Roscigno, Vincent J.", Social Science Research, 2018
Racial/Ethnic Sleep Disparities in US School-Aged Children and Adolescents: a Review of the Literature,"Keywords: Child Development Supplement, Health, Disability & Mortality, Racial-Ethnic Differences","Guglielmo, Dana, Gazmararian, Julie A., Chung, Joon, Rogers, Ann E., and Hale, Lauren.", Sleep Health, 2018
The Short-Term Stability of Life Satisfaction Judgments,"Keywords: Aging, Disability & Use of Time, Health, Disability & Mortality, Wellbeing","Lucas, Richard E., Freedman, Vicki A., and Cornman, Jennifer C.", Emotion, 2018
"Wages, Human Capital, and Barriers to Structural Transformation","Keywords: Income, International Studies, Labor Market & Outcomes","Herrendorf, Berthold and Schoellman, Todd.", American Economic Journal: Macroeconomics, 2018
Parental Support and Youth Occupational Attainment: Help or Hindrance?,"Keywords: Intergenerational Influences & Transfers, Labor Market & Outcomes, Transition to Adulthood Supplement","Manzoni, Anna.",Parental Support and Youth Occupational Attainment: Help or Hindrance? Journal of Youth and Adolescence, 2018
Income Volatility and the PSID: Past Research and New Results,"Keywords: Income, Statistical & Econometric Methods","Moffitt, Robert and Zhang, Sisi.", AEA Papers and Proceedings, 2018
Classification with Incomplete Functional Covariates,"Keywords: Child Development Supplement, Health, Disability & Mortality, Statistical & Econometric Methods","Mojirsheibani, Majid and Shaw, Crystal.", Statistics & Probability Letters, 2018
There's No Place Like Home: Racial Disparities in Household Formation in the 2000s,"Keywords: Family Formation & Composition, Housing, Racial-Ethnic Differences","Newman, Sandra, Holupka, C. Scott, and Ross, Stephen.", Journal of Housing Economics, 2018
"Cohort Differences in Mothers' Perceptions of Neighborhood Quality, Child Wellbeing, and Parental Strain, 1976–2002","Keywords: Child Development Supplement, Intergenerational Influences & Transfers, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences, Wellbeing","Nomaguchi, Kei and Fettro, Neal Fettro.", Family Relations, 2018
Estimating the Economic Cost of Childhood Poverty in the United States,"Keywords: Children, Life Course, Poverty","McLaughlin, Michael and Rank, Mark R.", Social Work Research, 2018
Antecedents and Correlates of Adolescent Employment: Race as a Moderator of Psychological Predictors,"Keywords: Child Development Supplement, Labor Market & Outcomes, Racial-Ethnic Differences","McLoyd, Vonnie C. and Hallman, Samantha K.", Youth & Society, 2018
The Dynamic Relationships Between Economic Status and Health Measures among Working-Age Adults in the United States,"Keywords: Aging, Gender Differences, Health, Disability & Mortality, Income, Labor Market & Outcomes, Statistical & Econometric Methods, Wealth, Assets & Pensions","Meraya, Abdulkarim M., Dwibedi, Nilanjana, Tan, Xi, Innes, Kim, Mitra, Sophie, and Sambamoorthi, Usha.", Health Economics, 2018
A Structural Explanation of Recent Changes in Life-Cycle Labor Supply and Fertility Behavior of Married Women in the United States,"Keywords: Family Formation & Composition, Labor Market & Outcomes","Park, Seonyoung.", European Economic Review, 2018
Examining the Likelihood of Experiencing Productivity Loss and Receiving Social Security Disability Income Following the Onset of Chronic Disease,"Keywords: Government Transfers, Health, Disability & Mortality, Labor Market & Outcomes","Besen, Elyssa, Jetha, Arif, and Gaines, Brittany.", Journal of Occupational and Environmental Medicine, 2018
Understanding the Great Gatsby Curve,"Keywords: Income, Intergenerational Influences & Transfers, Neighborhoods & Geographic Mobility, Statistical & Econometric Methods","Durlauf, Steven and Seshadri, Ananth.", NBER Macroeconomics Annual, 2018
"Resource Compensation from the Extended Family: Grandparents, Aunts, and Uncles in Finland and the United States","Keywords: Education Attainment & Achievement, Income, Intergenerational Influences & Transfers, International Studies","Erola, Jani, Kilpi-Jakonen, Elina, Prix, Irene, and Lehti, Hannu.", European Sociological Review, 2018
Financially Overextended: College Attendance as a Contributor to Foreclosures During the Great Recession,"Keywords: Education Attainment & Achievement, Expenditures, Savings & Consumption, Housing, Intergenerational Influences & Transfers","Faber, Jacob W. and Rich, Peter M.", Demography, 2018
"Labor Market and Health Trajectories During Periods of Economic Recession and Expansion in the United States, 19882011","Keywords: Aging, Health, Disability & Mortality, Labor Market & Outcomes, Life Course","Fan, Jonathan K., Amick III, Benjamin C., Richardson, Lindsey, Scott-Marshall, Heather, and McLeod, Christopher B."," Scandinavian Journal of Work, Environment & Health", 2018
Fixed Effects Estimation of Large-T Panel Data Models,"Keywords: Income, Statistical & Econometric Methods","Fernández-Val, Iván and Weidner, Martin.", Annual Review of Economics, 2018
Gender Norms and Relative Working Hours: Why Do Women Suffer More Than Men from Working Longer Hours Than Their Partners?,"Keywords: Gender Differences, Labor Market & Outcomes, Time Use & Home Production, Wellbeing","Fleche, Sarah, Lepinteur, Anthony, and Powdthavee, Nattavudh.",Gender Norms and Relative Working Hours: Why Do Women Suffer More Than Men from Working Longer Hours Than Their Partners? AEA Papers and Proceedings, 2018
"Luxury Consumption, Precautionary Savings and Wealth Inequality. The B.E","Keywords: Aging, Expenditures, Savings & Consumption, Wealth, Assets & Pensions","Campanale, Claudio.", Journal of Macroeconomics, 2018
Parents Who Left College and Children's Postsecondary Educational Attainment,"Keywords: Child Development Supplement, Education Attainment & Achievement, Intergenerational Influences & Transfers, Transition to Adulthood Supplement","Fomby, Paula and Cross, Christina J.", Sociological Forum, 2018
"Intergenerational Mobility and the Effects of Parental Education, Time Investment, and Income on Children's Educational Attainment","Keywords: Child Development Supplement, Children, Education Attainment & Achievement, Intergenerational Influences & Transfers, Statistical & Econometric Methods, Time Use & Home Production","Gayle, George-Levi, Golan, Limor, and Soytas, Mehmet.", Federal Reserve Bank of St Louis Review, 2018
Social Skill Dimensions and Career Dynamics,"Keywords: Gender Differences, Labor Market & Outcomes, Life Course, Racial-Ethnic Differences","Wyant, Amanda, Manzoni, Anna, and McDonald, Steve.", Socius: Sociological Research for a Dynamic World, 2018
"A Quantitative Theory of Information, Worker Flows, and Wage Dispersion","Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Michaud, Amanda.", American Economic Journal: Macroeconomics, 2018
Tough Love for Lazy Kids: Dynamic Insurance and Equal Bequests,"Keywords: Income, Intergenerational Influences & Transfers","Slavik, Ctirad and Wiseman, Kevin.", Review of Economic Dynamics, 2018
"Trends and Divergences in Childhood Income Dynamics, 1970–2010","Keywords: Children, Income, Life Course, Poverty","Hill, Heather D.", Advances in Child Development and Behavior, 2018
Unequal Returns: Intragenerational Asset Accumulation Differs by Net Worth in Early Adulthood,"Keywords: Intergenerational Influences & Transfers, Wealth, Assets & Pensions","Elliott, William, Rauscher, Emily, and Nam, Ilsung.", Children and Youth Services Review, 2018
"Mothers' Time, the Parenting Package, and Links to Healthy Child Development","Keywords: Child Development Supplement, Intergenerational Influences & Transfers, Time Use & Home Production, Wellbeing","Fomby, Paula and Musick, Kelly.", Journal of Marriage and Family, 2018
Rise and Shine: The Effect of School Start Times on Academic Performance from Childhood through Puberty,"Keywords: Child Development Supplement, Education Attainment & Achievement, Time Use & Home Production","Heissel, Jennifer and Norris, Samuel.", The Journal of Human Resources, 2018
Postsecondary Schooling and Parental Resources: Evidence from the PSID and HRS,"Keywords: Education Attainment & Achievement, Intergenerational Influences & Transfers, Transition to Adulthood Supplement, Wealth, Assets & Pensions","Haider, Steven J. and McGarry, Kathleen.", Education Finance and Policy, 2018
A New Measurement of Adverse Childhood Experiences Drawn from the Panel Study of Income Dynamics Child Development Supplement,"Keywords: Child Development Supplement, Health, Disability & Mortality, Statistical & Econometric Methods, Wellbeing","Olofson, Mark.", Child Indicators Research, 2018
Use of a Targeted Sequential Mixed Mode Protocol in a Nationally Representative Panel Study,"Keywords: Statistical & Econometric Methods, Survey Methodology","Freedman, Vicki A., McGonagle, Katherine A., and Couper, Mick P.", Journal of Survey Statistics and Methodology, 2018
"Ethnicity, Immigration, and Wealth Fluctuations in the United States","Keywords: Aging, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences, Wealth, Assets & Pensions","Gorbachev, Olga, O'Flaherty, Brendan, and Sethi, Rajiv.", The Review of Income and Wealth, 2018
Housing Assistance and Residential Stability among Low-Income Children,"Keywords: Children, Government Transfers, Housing, Neighborhoods & Geographic Mobility, Poverty","Gold, Sarah.", Social Service Review, 2018
"Marriage and Health: Selection, Protection, and Assortative Mating","Keywords: Aging, Family Formation & Composition, Health, Disability & Mortality, Racial-Ethnic Differences","Guner, Nezih, Kulikova, Yuliya, and Llull, Joan.", European Economic Review, 2018
Saving Impact of Mortgage Payments: A Micro-level Study for the US Households,"Keywords: Expenditures, Savings & Consumption, Housing","Günes, Ali and Tunç, Cengiz.", Real Estate Economics, 2018
Learning by Doing and Ben-Porath: Life-cycle Predictions and Policy Implications,"Keywords: Labor Market & Outcomes, Life Course, Statistical & Econometric Methods","Blandin, Adam.", Journal of Economic Dynamics and Control, 2018
New Evidence on Earnings Volatility in Survey and Administrative Data,"Keywords: Gender Differences, Labor Market & Outcomes, Statistical & Econometric Methods, Survey Methodology","Carr, Michael D. and Wiemers, Emily E.", AEA Papers and Proceedings, 2018
Labor Market Uncertainty and Portfolio Choice Puzzles,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods, Wealth, Assets & Pensions","Chang, Yongsung, Hong, Jay H., and Karabarbounis, Marios.", American Economic Journal: Macroeconomics, 2018
Age-Dependent Taxes With Endogenous Human Capital Formation,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods, Taxes","da Costa, Carlos E. and Santos, Marcelo R.", International Economic Review, 2018
Less Trusting and Connected? Social Trust and Social Integration among Young Adults during the Recession,"Keywords: Transition to Adulthood Supplement, Wellbeing","Day, Jack K. and Settersten Jr., Richard A.", Advances in Life Course Research, 2018
Risk and Return Trade-Offs in Lifetime Earnings,"Keywords: Income, Labor Market & Outcomes, Life Course","Dillon, Eleanor W.", Journal of Labor Economics, 2018
On the Heterogeneity in Family Earnings and Income Dynamics in the PSID,"Keywords: Family Formation & Composition, Gender Differences, Income, Statistical & Econometric Methods","Hryshko, Dmytro and Manovskii, Iourii.", AEA Papers and Proceedings, 2018
Why are US Women Decreasing their Labor Force Participation if their Wages are Rising?,"Keywords: Aging, Gender Differences, Labor Market & Outcomes","Huang, Chen.", Economic Inquiry, 2018
The Lost Generation of the Great Recession,"Keywords: Expenditures, Savings & Consumption, Income, Life Course, Statistical & Econometric Methods, Wealth, Assets & Pensions","Hur, Sewon.", Review of Economic Dynamics, 2018
"Educational Mismatches and Job Resolution in South Korea, the USA, and Germany","Keywords: Education Attainment & Achievement, International Studies, Labor Market & Outcomes","Jeong, Yeasung, Lee, Ayoung, and Cho, Joonmo.", Asian-Pacific Economic Literature, 2018
"Occupations, Organizations, and Intragenerational Career Mobility","Keywords: Intergenerational Influences & Transfers, Labor Market & Outcomes","Kalleberg, Arne L. and Mouw, Ted.", Annual Review of Sociology, 2018
Association of Income and Adversity in Childhood with Adult Health and Well-Being,"Keywords: Aging, Health, Disability & Mortality, Income, Intergenerational Influences & Transfers","Shaefer, H. Luke, Lapidos, Adrienne, Wilson, Reid, and Danziger, Sandra.", Social Service Review, 2018
Bayesian Quantile Regression Analysis for Continuous Data with a Discrete Component at Zero,Keywords: Statistical & Econometric Methods,"Santos, Bruno and Bolfarine, Heleno.", Statistical Modelling, 2018
"Can’t Pay Or Won’t Pay? Unemployment, Negative Equity, and Strategic Default","Keywords: Housing, Labor Market & Outcomes, Wealth, Assets & Pensions","Gerardi, Kristopher, Herkenhoff, Kyle F., Ohanian, Lee E., and Willen, Paul S.", The Review of Financial Studies, 2018
Racial Differentials in the Wealth Effects of the Financial Crisis and Great Recession,"Keywords: Racial-Ethnic Differences, Wealth, Assets & Pensions","Compton, Ryan, Giedeman, Daniel, and Muller, Leslie."," Journal of Economics, Race, and Policy", 2018
Accounting for Cross-Country Differences in Wealth Inequality,"Keywords: Expenditures, Savings & Consumption, International Studies, Wealth, Assets & Pensions","Cowell, Frank, Karagiannaki, Eleni, and Mcknight, Abigail.", The Review of Income and Wealth, 2018
Income and Consumption: A Micro Semistructural Analysis with Pervasive Heterogeneity,"Keywords: Expenditures, Savings & Consumption, Income, Statistical & Econometric Methods","Alan, Sule, Browning, Martin, and Ejrnæs, Mette.", Journal of Political Economy, 2018
Nonlinear Persistence and Partial Insurance: Income and Consumption Dynamics in the PSID,"Keywords: Expenditures, Savings & Consumption, Income, Survey Methodology","Arellano, Manuel, Blundell, Richard, and Bonhomme, Stephane.", AEA Papers and Proceedings, 2018
Bankruptcy and Delinquency in a Model of Unsecured Debt,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods, Wealth, Assets & Pensions","Athreya, Kartik, Sánchez, Juan M., Tam, Xuan S., and Young, Eric R.", International Economic Review, 2018
Economic Expectations of Young Adults,"Keywords: Child Development Supplement, Income, Intergenerational Influences & Transfers, Transition to Adulthood Supplement","Bandelj, Nina and Lanuza, Yader R.", Socius: Sociological Research for a Dynamic World, 2018
The Great Recession and Wealth in the United States: Differentials By Religious Affiliation,"Keywords: Wealth, Assets & Pensions","Beck, Sedefka V. and Brodersen, Donka Mirtcheva.", International Journal of Social Economics, 2018
Resurrecting the Role of the Product Market Wedge in Recessions,"Keywords: Expenditures, Savings & Consumption, Labor Market & Outcomes","Bils, Mark, Klenow, Peter J., and Malin, Benjamin A.", American Economic Review, 2018
Does Marriage Protect Health? A Birth Cohort Comparison,"Keywords: Aging, Family Formation & Composition, Health, Disability & Mortality","Tumin, Dmitry.", Social Science Quarterly, 2018
Extended Family Households among Children in the United States: Differences by Race/Ethnicity and Socio-Economic Status,"Keywords: Children, Family Formation & Composition, Intergenerational Influences & Transfers, Racial-Ethnic Differences","Cross, Christina J.", Population Studies, 2018
Optimal Life Cycle Mortgage and Portfolio Choices in the Presence of the Affordability Constraint,"Keywords: Expenditures, Savings & Consumption, Housing, Statistical & Econometric Methods","Chen, Xi.", Journal of Housing Economics, 2018
Changing Gender Norms and Marriage Dynamics in the United States,"Keywords: Family Formation & Composition, Gender Differences","Pessin, Léa.", Journal of Marriage and Family, 2018
Child Custody and Family Labour Supply: Evidence from the United States,"Keywords: Family Formation & Composition, Labor Market & Outcomes","Nguyen, Dung Kieu, Tran Thi Van, Anh, and Phan, Trang.", Labour, 2018
A Welfare Evaluation of the 1986 Tax Reform for Married Couples in the United States,"Keywords: Family Formation & Composition, Government Transfers, Taxes","Picchio, Matteo and Valletta, Giacomo.", International Tax and Public Finance, 2018
Self-Reported Health Status and Medical Debt,"Keywords: Aging, Expenditures, Savings & Consumption, Health, Disability & Mortality","Richard, Patrick, Patel, Nilam, Lu, Yuan-Chiao, and Alexandre, Pierre.", Journal of Financial Counseling and Planning, 2018
"An Analysis of Female Labor Supply, Home Production, and Household Consumption Expenditures","Keywords: Expenditures, Savings & Consumption, Gender Differences, Labor Market & Outcomes, Time Use & Home Production","Forrester, Kellie and Klein, Jennifer.", Journal of Demographic Economics, 2018
"Children, Time Allocation, and Consumption Insurance","Keywords: Children, Expenditures, Savings & Consumption, Time Use & Home Production","Blundell, Richard, Pistaferri, Luigi, and Saporta-Eksten, Itay.", Journal of Political Economy, 2018
Income and Consumption: A Micro Semistructural Analysis with Pervasive Heterogeneity,Keywords: . ,"Alan, Sule, Browning, Martin, and Ejrnæs, Mette.", Journal of Political Economy, 2018
Identifying Heterogeneous Income Profiles Using Covariances of Income Levels and Future Growth Rates,"Keywords: Expenditures, Savings & Consumption, Income, Statistical & Econometric Methods","Druedahl, Jeppe and Munk-Nielsen, Anders.", Journal of Economic Dynamics and Control, 2018
Partial Effects in Binary Response Models Using a Special Regressor,Keywords: Statistical & Econometric Methods,"Lee, Ying-Ying and Li, Hsueh-Hsiang.", Economics Letters, 2018
Neighborhoods Matter. A Systematic Review of Neighborhood Characteristics and Adolescent Reproductive Health Outcomes,"Keywords: Health, Disability & Mortality, Neighborhoods & Geographic Mobility","Decker, Martha J., Isquick, Sarah, Tilley, Lana, Zhi, Qi, Gutman, Anya, Luong, William, and Brindis, Claire D.", Health & Place, 2018
Parental Income and Children’s Life Course: Lessons from the Panel Study of Income Dynamics,"Keywords: Income, Intergenerational Influences & Transfers, Life Course","Duncan, Greg J., Kalil, Ariel, and Ziol-Guest, Kathleen M.", The ANNALS of the American Academy of Political and Social Science, 2018
Impact of Rental Assistance on Modifiable Health Risk Factors and Behaviors in Adults,"Keywords: Aging, Government Transfers, Health, Disability & Mortality, Housing","Antonakos, Cathy L. and Colabianchi, Natalie.", Cityscape: A Journal of Policy Development and Research, 2018
Inherited Prospects: The Importance of Financial Transfers for White and Black College-Educated Households’ Wealth Trajectories,"Keywords: Education Attainment & Achievement, Racial-Ethnic Differences, Wealth, Assets & Pensions","Taylor, Joanna and Meschede, Tatjana.", The American Journal of Economics and Sociology, 2018
"A Decomposition of Trends in Blacks’ and Whites’ Exposure to Other-Race Neighbors, 2001–2011","Keywords: Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Huang, Ying, South, Scott J., Spring, Amy, and Crowder, Kyle.", City & Community, 2018
"The Charitable Bequest Gap among African-Americans: Exploring Charitable, Religious, and Family Estate Planning Attitudes","Keywords: Philanthropy, Racial-Ethnic Differences","Lehman, Jennifer and James, Russell N.", Journal of Personal Finance; Middletown, 2018
Race and Location: The Role Neighborhoods Play in Family Wealth and Well-Being,"Keywords: Neighborhoods & Geographic Mobility, Racial-Ethnic Differences, Wealth, Assets & Pensions, Wellbeing","Thomas, Hannah, Mann, Alexis, and Meschede, Tatjana.", The American Journal of Economics and Sociology, 2018
White Integration or Segregation? The Racial and Ethnic Transformation of Rural and Small Town America,"Keywords: Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Lichter, Daniel T., Parisi, Domenico, and Taquino, Michael C.", City & Community, 2018
"Collective Decisions, Household Production, and Labor Force Participation","Keywords: Labor Market & Outcomes, Statistical & Econometric Methods, Time Use & Home Production","Donni, Olivier and Matteazzi, Eleonora.", Journal of Applied Econometrics, 2018
Grandparent Effects on Educational Outcomes: A Systematic Review,"Keywords: Child Development Supplement, Education Attainment & Achievement, Intergenerational Influences & Transfers, Transition to Adulthood Supplement","Anderson, Lewis R., Sheppard, Paula, and Monden, Christiaan W. S.", Sociological Science, 2018
What Can We Learn from Online Wage Postings? Evidence from Glassdoor,Keywords: Labor Market & Outcomes,"Karabarbounis, Marios and Pinto, Santiago.", Economic Quarterly, 2018
Maximum Simulated Likelihood Estimation of the Panel Sample Selection Model,Keywords: Statistical & Econometric Methods,"Tsay, Hung-pin Lai and Wen, Jen.", Econometric Reviews, 2018
Evolution of the Infant Health Production Function,"Keywords: Children, Health, Disability & Mortality","Corman, Hope, Dave, Dhaval, and Reichman, Nancy E.", Southern Economic Journal, 2018
"Somebody Has to DUST! Gender, Health, and Housework in Older Couples","Keywords: Aging, Disability & Use of Time, Gender Differences, Health, Disability & Mortality, Time Use & Home Production","Geist, Claudia and Tabler, Jennifer.", Journal of Women & Aging, 2018
The Aggregate Implications of Gender and Marriage,"Keywords: Family Formation & Composition, Gender Differences, Labor Market & Outcomes","Borella, Margherita, De Nardi, Mariacristina, and Yang, Fang.", The Journal of the Economics of Ageing, 2018
"The Effects of Union Dissolution on the Economic Resources of Men and Women: A Comparative Analysis of Germany and the United States, 1985–2013","Keywords: Family Formation & Composition, Income, International Studies","Bayaz-Ozturk, Gulgun, Burkhauser, Richard V., Couch, Kenneth A., and Hauser, Richard.", The ANNALS of the American Academy of Political and Social Science, 2018
Do Changes to Family Structure Affect Child and Family Outcomes? A Systematic Review of the Instability Hypothesis,"Keywords: Children, Family Formation & Composition, Intergenerational Influences & Transfers","Hadfield, Kristin, Amos, Margaret, Ungar, Michael, Gosselin, Julie, and Ganong, Lawrence.", Journal of Family Theory & Review, 2018
Well-being and Substance Use in Emerging Adulthood: The Role of Individual and Family Factors in Childhood and Adolescence,"Keywords: Child Development Supplement, Family Formation & Composition, Gender Differences, Health, Disability & Mortality, Intergenerational Influences & Transfers, Racial-Ethnic Differences, Transition to Adulthood Supplement, Wellbeing","Lee, ChienTi Plummer, Beckert, Troy, and Marsee, Ian.", Journal of Child and Family Studies, 2018
Complicating the Story of Location Affordability,"Keywords: Expenditures, Savings & Consumption, Housing, Neighborhoods & Geographic Mobility","Smart, Michael J. and Klein, Nicholas J.", Housing Policy Debate, 2018
"Disability, Taxes, Transfers and the Economic Well-Being of Women","Keywords: Health, Disability & Mortality, Taxes","Meyer, Bruce D. and Mok, Wallace KC.", Tax Policy and the Economy, 2018
Effects of Minimum Wages on Absence from Work Due to Illness,"Keywords: Health, Disability & Mortality, Labor Market & Outcomes","Du, Juan and Leigh, J. Paul.", The BE Journal of Economic Analysis & Policy, 2018
Individual Importance Weighting of Domain Satisfaction Ratings does Not Increase Validity,"Keywords: Statistical & Econometric Methods, Wellbeing","Rohrer, Julia M. and Schmukle, Stefan C.", Collabra: Psychology, 2018
"Fiscal Policy, Consumption Risk, and Stock Returns: Evidence from US States","Keywords: Expenditures, Savings & Consumption, Government Transfers, Wealth, Assets & Pensions","Da, Zhi, Warachka, M., and Yun, H.", Journal of Financial and Quantitative Analysis, 2018
Mental Health and Retirement Savings: Confounding Issues with Compounding Interest,"Keywords: Aging, Health, Disability & Mortality, Retirement, Wealth, Assets & Pensions","Bogan, Vicki L. and Fertig, Angela R.", Health Economics, 2018
Job Polarization and Structural Change,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Bárány, Zsófia L. and Siegel, Christian.", American Economic Journal: Macroeconomics, 2018
Linked Lives and Cumulative Inequality: A Multigenerational Family Life Course Framework,"Keywords: Family Formation & Composition, Intergenerational Influences & Transfers, Life Course","Gilligan, Megan, Karraker, Amelia, and Jasper, Angelica.", Journal of Family Theory & Review, 2018
"Marriage, Working Spouses, and Male Wage Volatility","Keywords: Family Formation & Composition, Gender Differences, Labor Market & Outcomes","You, Hye Mi.", The Korean Economic Review, 2018
Relationship Between Well-Being and Daily Time Use of Elderly: Evidence from the Disabilities and Use of Time Survey,"Keywords: Aging, Disability & Use of Time, Time Use & Home Production, Wellbeing","Enam, Annesha, Konduri, Karthik C., Eluru, Naveen, and Ravulaparthy, Srinath K.", Transportation, 2018
Designs of Empirical Evaluations of Nonexperimental Methods in Field Settings,"Keywords: Statistical & Econometric Methods, Survey Methodology","Wong, Vivian C. and Steiner, Peter M.", Evaluation Review, 2018
Grandchildren and Their Grandparents' Labor Supply,"Keywords: Aging, Intergenerational Influences & Transfers, Labor Market & Outcomes, Statistical & Econometric Methods","Rupert, Peter and Zanella, Giulio.", Journal of Public Economics, 2018
Health and Health Inequality During the Great Recession: Evidence from the PSID,"Keywords: Aging, Health, Disability & Mortality, Labor Market & Outcomes","Wang, Huixia, Wang, Chenggang, and Halliday, Timothy.", Economics & Human Biology, 2018
Household Inequality and the Consumption Response to Aggregate Real Shocks,"Keywords: Expenditures, Savings & Consumption","Amromin, Gene, De Nardi, Mariacristina, and Schulze, Karl.", Economic Perspectives, 2018
Extreme-Scale Dynamic Exploration of a Distributed Agent-Based Model With the EMEWS Framework,Keywords: Statistical & Econometric Methods,"Ozik, Jonathan, Collier, Nicholson T., Wozniak, Justin M., Macal, Charles M., and An, Gary.", IEEE Transactions on Computational Social Systems, 2018
Evaluating Patterns of Income Growth When Status Matters: a Robust Approach,"Keywords: Income, International Studies, Statistical & Econometric Methods","Palmisano, Flaviana.", The Review of Income and Wealth, 2018
Growing Wealth Gaps in Education,"Keywords: Education Attainment & Achievement, Intergenerational Influences & Transfers, Wealth, Assets & Pensions","Pfeffer, Fabian T.", Demography, 2018
Who Gets Hired? The Importance of Competition among Applicants,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Lazear, Edward P., Shaw, Kathryn L., and Stanton, Christopher T.", Journal of Labor Economics, 2018
"What Explains the Decline in First Marriage in the United States? Evidence from the Panel Study of Income Dynamics, 1969 to 2013","Keywords: Family Formation & Composition, Income, Life Course","Schneider, Daniel, Harknett, Kristen, and Stimpson, Matthew.", Journal of Marriage and Family, 2018
Tests of Stochastic Monotonicity with Improved Power,Keywords: Statistical & Econometric Methods,"Seo, Juwon.", Journal of Econometrics, 2018
Housing Assistance and Child Health: A Systematic Review,"Keywords: Children, Government Transfers, Health, Disability & Mortality, Housing","Slopen, Natalie, Fenelon, Andrew, Newman, Sandra, and Boudreaux, Michel.", Pediatrics, 2018
Occupational Mobility among Individuals in EntryLevel Healthcare Jobs in the USA,Keywords: Labor Market & Outcomes,"Snyder, Cyndy R., Dahal, Arati, and Frogner, Bianca K.", Journal of Advanced Nursing, 2018
"Dimensions of Family Disruption: Coincidence, Interactions, and Impacts on Children’s Educational Attainment","Keywords: Children, Education Attainment & Achievement, Family Formation & Composition, Life Course, Neighborhoods & Geographic Mobility","Thomas, Juli Simon.", Longitudinal and Life Course Studies, 2018
"Moral Economies or Hidden Talents? A Longitudinal Analysis of Union Decline and Wage Inequality, 1973–2015","Keywords: Income, Labor Market & Outcomes","VanHeuvelen, Tom.", Social Forces, 2018
"Early-Life Air Pollution Exposure, Neighborhood Poverty, and Childhood Asthma in the United States, 1990–2014","Keywords: Child Development Supplement, Children, Health, Disability & Mortality, Neighborhoods & Geographic Mobility, Poverty","Kravitz-Wirtz, Nicole, Teixeira, Samantha, Hajat, Anjum, Woo, Bongki, Crowder, Kyle, and Takeuchi, David.", International Journal of Environmental Research and Public Health, 2018
Choosing a Control Group for Displaced Workers,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Krolikowski, Pawel.", ILR Review, 2018
Life Cycle Wage Growth across Countries,"Keywords: Income, International Studies, Labor Market & Outcomes, Life Course","Lagakos, David, Moll, Benjamin, Porzio, Tommaso, Qian, Nancy, and Schoellman, Todd.", Journal of Political Economy, 2018
The Effects of Active and Passive Leisure on Cognition in Children: Evidence from Exogenous Variation in Weather,"Keywords: Child Development Supplement, Children, Education Attainment & Achievement, Gender Differences, Time Use & Home Production","Laidley, Thomas and Conley, Dalton.", Social Forces, 2018
Intergenerational Mobility in the United States: What We Have Learned from the PSID,"Keywords: Intergenerational Influences & Transfers, Racial-Ethnic Differences, Statistical & Econometric Methods","Mazumder, Bhashkar.", The ANNALS of the American Academy of Political and Social Science, 2018
"Migration, Mobility, and Neighborhood Attainment: Using the PSID to Understand the Processes of Racial Stratification","Keywords: Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Leibbrand, Christine and Crowder, Kyle.", The ANNALS of the American Academy of Political and Social Science, 2018
Addressing Racial Health Disparities: Looking Back to Point the Way Forward,"Keywords: Aging, Health, Disability & Mortality, Life Course, Racial-Ethnic Differences","Johnson, Rucker C.", The ANNALS of the American Academy of Political and Social Science, 2018
